drugbank_target_id,guideto_target_id
O15269,2510
O15269,2509
O15269,2511
P27915,2399
P17763,2397
P26661,2400
Q9Y6E0,2217
O88697,2213
Q9BXU1,2220
Q9BYT3,2221
Q9UEE5,2214
Q12196,2211
Q9NY57,1538
Q8IY84,2291
Q13188,2223
Q9NBK5,1517
Q60857,928
O81905,2219
Q9NBK5,1518
Q80ZA3,2632
Q96BR1,1535
A0A173X437,925
Q96BR1,1534
Q06124,636
Q06226,1536
O81905,2225
Q8K9I1,2553
Q99720,2552
Q80ZE3,3169
Q9Y2K2,2199
Q9Y6E7,2707
Q9Y6E7,2708
Q9Y6E7,2709
Q9NXA8,2711
Q8BKJ9,2712
Q8N695,922
P31637,924
P56726,239
P42227,2993
J9NTC0,2201
P42232,2994
Q925Q3,945
Q925Q3,946
Q925Q3,947
Q8K2P7,1169
Q8CFE6,1170
Q969I6,1172
Q969I6,1171
Q969I6,1173
P13866,915
P31639,916
Q8C0X2,948
Q8C0X2,949
Q8C0X2,950
Q8C0X2,952
Q62773,1115
Q6IA17,2969
Q9EPR4,1042
Q9EPR4,1041
Q8N130,1136
Q6UWV6,2514
Q23498,2515
Q9VS60,2520
Q9HAS3,1116
Q96LT4,2521
D4A3T0,3096
P28867,2204
Q18425,2205
P06685,833
Q54RV9,2522
Q14534,2433
Q00655,2230
P37268,645
Q9WUD9,2206
P87384,355
P30875,356
A0A658GFS7,357
O13821,358
A0A6P9FN98,359
O70551,2208
P78362,2209
P78362,2210
P33242,632
Q86WV6,2902
Q9BXA5,166
P31213,2633
P0C264,2290
A0A3B4HAP2,2207
Q9Y6E0,2200
O60264,2740
Q96LD8,2417
O14836,1885
Q9JIS5,2634
O54864,2715
Q9H2K2,3108
Q9TXQ1,3109
Q5W0Q7,2414
Q9H6P5,2419
C5HQM8,364
Q9H2K8,2235
Q0KHQ5,2233
Q02763,1842
P49116,614
O60264,2239
O60264,2240
Q9BXA7,2257
Q9UHD2,2237
P40238,1722
P42680,2238
Q8CII9,2305
P06785,2642
Q9BXA6,2258
Q9PVE4,588
Q9PVE4,589
Q9NRD8,2526
O60603,1752
O15455,1753
O00206,1754
O60602,1755
Q9NYK1,1757
Q9NR97,1758
O60779,1015
O60779,1016
Q61663,615
Q9NR96,1759
Q94KI8,392
Q9NS68,1891
Q8BWC0,393
P21731,346
Q9UKE5,2244
Q00918,2585
Q03167,1788
Q03167,1795
P21980,3015
P27540,2879
Q9Y5Y6,2418
P76341,2851
A0A1C2B2P0,363
O15164,2252
P29144,2423
Q13641,3009
O75762,485
P48995,486
O31774,487
Q13507,488
Q9UBN4,489
Q9UL62,490
Q9Y210,491
Q9HCX4,492
Q7Z4N2,493
O94759,494
Q9HCF6,495
Q8TD43,496
Q9JJH7,497
Q9BX84,498
Q96QT4,499
Q7Z2W7,500
